username,ranking,country,number of solved problems,P1 http://br.spoj.com/problems/COLISAO7/,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1807,P3 http://codeforces.com/problemset/problem/576/A,P4 http://codeforces.com/problemset/problem/546/D,P5 http://codeforces.com/problemset/problem/552/B,P6 http://codeforces.com/problemset/problem/608/B,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1039,P8 http://codeforces.com/problemset/problem/152/C,P9 http://codeforces.com/problemset/problem/560/A,P10 http://codeforces.com/problemset/problem/514/B
oandrevictor,1,Brazil,9,1,1,1,0/--,1,1,1,1,1,1
gabrielm19,2,Brazil,9,1,1,1,0/--,1,1,1,1,1,1
pablovfds,3,Brazil,9,1,1,1,0/--,1,1,1,1,1,1
rafaelfalc,4,Brazil,9,1,1,1,0/--,1,1,1,1,1,1
raquel.paz,5,Brazil,8,1,1,1,0/--,1,1,1,1,1,1
italoM,6,Brazil,8,1,1,1,0/--,1,0/--,1,1,1,1
giuseppegm,7,Brazil,8,1,1,1,0/--,1,1,1,1,1,0/--
thaynan.nunes,8,Brazil,8,1,1,1,0/--,1,1,1,1,1,0/--
lucashenrique125,9,Brazil,8,1,1,1,0/--,1,1,1,1,1,1
nicacioliveira,10,Brazil,8,1,1,1,0/--,1,1,1,0/--,1,1
Coutzzz,11,Brazil,8,1,1,1,0/--,1,1,1,1,1,1
gileadekelvin,12,Brazil,7,1,1,1,0/--,1,0/--,1,1,1,0/--
MattheusB,13,Brazil,7,1,1,1,0/--,1,0/--,1,1,1,0/--
ffosilva,14,Brazil,7,1,1,1,0/--,1,1,1,0/--,1,0/--
idantas,15,Brazil,7,2/--,1,0/--,0/--,1,1,1,1,1,1
Mainara,16,Brazil,6,1,1,1,0/--,1,0/--,1,1,1,0/--
raonismaneoto,17,Brazil,6,1,1,0/--,1,1,0/--,1,1,1,1
ronnansouza,18,Brazil,6,1,1,0/--,0/--,1,0/--,1,1,1,0/--
llama,19,Brazil,6,1,1,1,0/--,1,0/--,1,0/--,1,0/--
lucasncabral,20,Brazil,5,0/--,0/--,1,0/--,1,1,0/--,1,1,1
vsseixaso,21,Brazil,5,1,6/--,0/--,0/--,1,0/--,1,1,1,0/--
Caio.torres,22,Brazil,4,1,0/--,0/--,0/--,1,0/--,1,0/--,1,0/--
victorbc,23,Brazil,4,1,0/--,0/--,0/--,1,0/--,1,0/--,1,0/--
brenos,24,Brazil,4,1,0/--,1,0/--,1,0/--,5/--,0/--,1,0/--
viniciusms,25,Brazil,4,0/--,0/--,1,0/--,1,0/--,0/--,1,1,0/--
jose.ferreira,26,Brazil,2,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
decorm,27,Brazil,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
hiagonfs,28,Brazil,1,0/--,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--,0/--
enzolizama98,29,Peru,1,1,0/--,0/--,1,1,0/--,0/--,0/--,0/--,0/--
francis,30,Brazil,0,1/--,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--,0/--
