username,ranking,country,number of solved problems,P1 http://codeforces.com/problemset/problem/659/A,P2 http://codeforces.com/problemset/problem/69/A,P3 https://www.urionlinejudge.com.br/judge/en/problems/view/1018,P4 https://www.urionlinejudge.com.br/judge/en/problems/view/1049,P5 https://www.urionlinejudge.com.br/judge/en/problems/view/1796,P6 http://br.spoj.com/problems/JBUSCA12/,P7 http://br.spoj.com/problems/SALDO13/,P8 https://www.urionlinejudge.com.br/judge/en/problems/view/1044
brenos,1,Brazil,8,1,1,1,1,1,1,1,1
pablovfds,2,Brazil,8,1,1,1,1,1,1,1,1
GersonSales,3,Brazil,8,1,1,1,1,1,1,1,1
italoM,4,Brazil,8,1,1,1,1,1,1,1,1
oandrevictor,5,Brazil,8,1,1,1,1,1,1,1,1
jose.ferreira,6,Brazil,8,1,1,1,1,1,1,1,1
gabrielm19,7,Brazil,8,1,1,1,1,1,1,1,1
gabriela.motta,8,Brazil,8,1,1,1,1,1,1,1,1
Mainara,9,Brazil,8,1,1,1,1,1,1,1,1
zeignacio,10,Brazil,8,1,1,1,1,1,1,1,1
valterlucena,11,Brazil,8,1,1,1,1,1,1,1,1
thaynan.nunes,12,Brazil,8,1,1,1,1,1,1,1,1
ffosilva,13,Brazil,8,1,1,1,1,1,1,1,1
RonaldoMPF,14,Brazil,8,1,1,1,1,1,1,1,1
gileadekelvin,15,Brazil,8,1,1,1,1,1,1,1,1
ronnansouza,16,Brazil,8,1,1,1,1,1,1,1,1
Rinoa,17,Brazil,8,1,1,1,1,1,1,1,1
lucasan,18,Brazil,8,1,1,1,1,1,1,1,1
Avdluna,19,Brazil,8,1,1,1,1,1,1,1,1
giuseppegm,20,Brazil,8,1,1,1,1,1,1,1,1
icarodantas123,21,Brazil,8,1,1,1,1,1,1,1,1
victorbc,22,Brazil,8,1,1,1,1,1,1,1,1
raquel.paz,23,Brazil,8,1,1,1,1,1,1,1,1
vsseixaso,24,Brazil,8,1,1,1,1,1,1,1,1
raonismaneoto,25,Brazil,8,1,1,1,1,1,1,1,1
juliobguedes,26,Brazil,8,1,1,1,1,1,1,1,1
nicacioliveira,27,Brazil,8,1,1,1,1,1,1,1,1
MattheusB,28,Brazil,8,1,1,1,1,1,1,1,1
luisadantas,29,Brazil,7,0/--,1,1,1,1,1,1,1
evelinne,30,Brazil,5,0/--,0/--,0/--,1,1,1,1,1
lucasncabral,31,Brazil,5,0/--,0/--,0/--,1,1,1,1,1
hiagofernandes,32,Brazil,4,0/--,0/--,1,0/--,0/--,1,1,1
david.souza,33,Brazil,4,0/--,0/--,0/--,0/--,1,1,1,1
MohamedAsaad,34,Egypt,2,1,1,0/--,0/--,0/--,0/--,0/--,0/--
killcode,35,India,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
Rezuan07,36,Bangladesh,1,0/--,1,0/--,0/--,0/--,0/--,0/--,0/--
leticiafw,37,Brazil,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
pedropaulo,38,Brazil,0,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
