username,ranking,country,number of solved problems,P1 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=2498,P2 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=129,P3 http://www.spoj.com/problems/CISTFILL/,P4 http://codeforces.com/problemset/problem/5/C,P5 http://codeforces.com/problemset/problem/166/E,P6 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=37,P7 http://codeforces.com/problemset/problem/217/A,P8 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1725,P9 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1432,P10 https://uva.onlinejudge.org/index.php?option=onlinejudge&page=show_problem&problem=1051
dgt,1,Brazil,10,1,1,1,1,1,1,1,1,1,1
Ordan,2,Brazil,10,1,1,1,1,1,1,1,1,1,1
VictorAA,3,Brazil,10,1,1,1,1,1,1,1,1,1,1
jefersonf,4,Brazil,9,1,1,1,1,1,2/--,1,1,1,1
mari_linhares,5,Brazil,9,1,0/--,1,1,1,1,1,1,1,1
Arthurv,6,Brazil,9,1,0/--,1,1,1,1,1,1,1,1
GustavoMA,7,Brazil,8,1,0/--,1,1,1,3/--,1,1,1,1
lmaia,8,Brazil,8,1,0/--,7/--,1,1,1,1,1,1,1
Leulz,9,Brazil,8,1,0/--,1,1,1,1,1,1,0/--,1
lucasmc,10,Brazil,7,1,0/--,6/--,1,1,0/--,1,1,1,1
Gustavo Ribeiro,11,Brazil,6,1,1,0/--,1,1,0/--,1,0/--,0/--,1
guthyerrz,12,Brazil,3,1,0/--,0/--,0/--,0/--,0/--,0/--,1,0/--,1
caynanvls,13,Brazil,2,0/--,0/--,0/--,1,0/--,0/--,0/--,0/--,0/--,1
