username,ranking,country,number of solved problems,P1 https://www.urionlinejudge.com.br/judge/en/problems/view/1068,P2 https://www.urionlinejudge.com.br/judge/en/problems/view/1340,P3 http://codeforces.com/problemset/problem/501/B,P4 https://www.urionlinejudge.com.br/judge/en/problems/view/1062,P5 https://www.urionlinejudge.com.br/judge/en/problems/view/1451,P6 https://www.urionlinejudge.com.br/judge/en/problems/view/1861,P7 https://www.urionlinejudge.com.br/judge/en/problems/view/1235,P8 https://www.urionlinejudge.com.br/judge/en/problems/view/2064
mateuslunacc,1,Brazil,8,1,1,1,1,1,1,1,1
arthur1992,2,Brazil,8,1,1,1,1,1,1,1,1
claudivan,3,Brazil,8,1,1,1,1,1,1,1,1
lucaspk33,4,Brazil,7,1,1,1,1,1,1,1,0/--
jvmafra,5,Brazil,7,1,1,1,1,1,1,1,3/--
raquel.paz,6,Brazil,7,1,1,1,1,1,1,1,0/--
brenos,7,Brazil,7,1,1,1,1,1,1,1,0/--
joaotargino,8,Brazil,7,1,1,1,1,1,1,1,0/--
rayffqueiroga,9,Brazil,7,1,1,1,1,1,1,1,1/--
pherivelton,10,Brazil,7,1,1,1,1,1,1,1,3/--
nathanmrtns,11,Brazil,7,1,1,1,1,1,1,1,0/--
gervasiocaj,12,Brazil,7,1,1,1,1,1,1,1,0/--
lucasan,13,Brazil,6,1,1,1,3/--,1,1,1,0/--
danielbgm,14,Brazil,6,1,1,1,2/--,1,1,1,2/--
Sampaio,15,Brazil,6,1,1,0/--,1,1,1,1,0/--
matheusgmaia,16,Brazil,6,1,1,1,0/--,1,1,1,0/--
caiofelipe97,17,Brazil,6,1,1,1,0/--,1,1,1,0/--
marcosvn,18,Brazil,5,1,1,1,0/--,4/--,1,1,2/--
claramm,19,Brazil,5,1,0/--,1,2/--,1,1,1,0/--
Renan,20,Brazil,4,1,1,0/--,0/--,0/--,1,1,0/--
eknoor292,21,India,3,1,1,0/--,0/--,0/--,0/--,1,0/--
zeignacio,22,Brazil,3,1,1,1,0/--,5/--,0/--,1,5/--
c0mpaq,23,Brazil,3,1,1,1,0/--,5/--,0/--,0/--,0/--
lordivel,24,Brazil,1,1,0/--,0/--,0/--,0/--,0/--,0/--,0/--
hiagofernandes,25,Brazil,1,1,1/--,0/--,0/--,0/--,0/--,0/--,0/--
